epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.6138,1.09677,1.62093,0.97135,0,0,0,0,1.08234,4.86484,0.94167,0.0679706,0.000323529,0.000323529
2,61.9536,0.86545,0.71228,0.88472,0.98,0.89416,0.94547,0.77397,0.85282,2.9782,0.83082,0.0349641,0.00065036,0.00065036
3,93.2064,0.8034,0.64135,0.86752,1,0.8457,0.98931,0.81572,0.73116,1.4933,0.80792,0.00195098,0.00097059,0.00097059
4,140.26,0.78393,0.59131,0.86642,0.96302,0.95034,0.98591,0.78073,0.77219,0.73632,0.82805,0.0009703,0.0009703,0.0009703
5,362.183,0.7585,0.56937,0.85726,0.95331,0.89431,0.91959,0.76523,0.69607,0.53831,0.80957,0.0009604,0.0009604,0.0009604
6,1340.86,0.72994,0.53721,0.84922,0.97785,0.9669,0.98389,0.82248,0.649,0.5282,0.80141,0.0009505,0.0009505,0.0009505
7,1701.46,0.72852,0.52455,0.8561,0.95683,0.88971,0.91656,0.76992,0.65663,0.50965,0.80673,0.0009406,0.0009406,0.0009406
8,1871.35,0.71826,0.52319,0.85393,0.97984,0.9708,0.98898,0.82095,0.72343,0.53546,0.84269,0.0009307,0.0009307,0.0009307
9,1903.06,0.71051,0.51,0.85443,0.98163,0.975,0.99118,0.82775,0.6403,0.47771,0.81929,0.0009208,0.0009208,0.0009208
10,1936.15,0.6891,0.48707,0.84661,0.97426,0.96711,0.98427,0.82033,0.67917,0.48451,0.81675,0.0009109,0.0009109,0.0009109
11,1969.69,0.66361,0.46389,0.84825,0.98125,0.95485,0.98741,0.83435,0.67518,0.46532,0.81243,0.000901,0.000901,0.000901
12,2002.69,0.70677,0.49363,0.84562,0.96993,0.95255,0.98697,0.76554,0.79062,0.53206,0.82664,0.0008911,0.0008911,0.0008911
13,2034.59,0.70157,0.48173,0.84574,0.97504,0.95255,0.98858,0.83624,0.59691,0.45325,0.80714,0.0008812,0.0008812,0.0008812
14,2066.85,0.63297,0.4397,0.83832,0.96851,0.96715,0.99006,0.85401,0.60045,0.41753,0.81278,0.0008713,0.0008713,0.0008713
15,2098.41,0.63675,0.44389,0.83583,0.97018,0.9562,0.98611,0.83754,0.63997,0.47041,0.81078,0.0008614,0.0008614,0.0008614
16,2133.1,0.63545,0.44184,0.83979,0.97091,0.96715,0.98963,0.83764,0.62624,0.48823,0.81834,0.0008515,0.0008515,0.0008515
17,2165.58,0.60823,0.42702,0.83228,0.9672,0.96846,0.98571,0.83738,0.62011,0.45261,0.8097,0.0008416,0.0008416,0.0008416
18,2200.71,0.64882,0.4356,0.83508,0.9637,0.96887,0.99002,0.84585,0.62508,0.42472,0.80748,0.0008317,0.0008317,0.0008317
19,2233.32,0.60267,0.41884,0.83082,0.97065,0.9655,0.98998,0.84921,0.64513,0.45206,0.81409,0.0008218,0.0008218,0.0008218
20,2263.6,0.60639,0.41383,0.83271,0.97101,0.97807,0.98956,0.84447,0.62458,0.42882,0.81953,0.0008119,0.0008119,0.0008119
21,2298.27,0.6021,0.41036,0.8332,0.98198,0.96715,0.9924,0.86868,0.56866,0.4069,0.80298,0.000802,0.000802,0.000802
22,2326.64,0.57341,0.39682,0.82881,0.9815,0.96807,0.99108,0.85528,0.60226,0.40711,0.80882,0.0007921,0.0007921,0.0007921
23,2354.35,0.5853,0.40411,0.82842,0.9816,0.97335,0.98779,0.82224,0.6882,0.4343,0.8165,0.0007822,0.0007822,0.0007822
24,2383.25,0.58378,0.40213,0.83409,0.96574,0.9708,0.98861,0.85866,0.59596,0.42153,0.81106,0.0007723,0.0007723,0.0007723
25,2413.28,0.55646,0.38384,0.82572,0.98383,0.9781,0.98966,0.8419,0.63475,0.41381,0.8203,0.0007624,0.0007624,0.0007624
26,2444.51,0.57309,0.38398,0.82856,0.98839,0.93209,0.98531,0.8553,0.58937,0.42333,0.81231,0.0007525,0.0007525,0.0007525
27,2473.18,0.56058,0.38473,0.82763,0.96755,0.97926,0.98911,0.84964,0.60545,0.40914,0.80979,0.0007426,0.0007426,0.0007426
28,2503.89,0.55111,0.37724,0.82279,0.96626,0.97445,0.98895,0.86583,0.58402,0.41241,0.79783,0.0007327,0.0007327,0.0007327
29,2531.49,0.55404,0.38981,0.82415,0.97079,0.97021,0.99091,0.86338,0.58916,0.41009,0.81025,0.0007228,0.0007228,0.0007228
30,2560.38,0.55838,0.37904,0.82358,0.97777,0.96301,0.98535,0.8421,0.59158,0.40533,0.80657,0.0007129,0.0007129,0.0007129
31,2589.9,0.55601,0.3772,0.82749,0.98906,0.94526,0.98794,0.86499,0.56218,0.39789,0.80019,0.000703,0.000703,0.000703
